
TERMSOURCEKEY	COURSEID 	CLASSNUMBER	TERM       	SUBJECTDESCRIPTIONSOURCEKEY	DESCR                                             	FACILITYTYPE 	EXAMDT     	EXAMSTARTTIME	EXAMENDTIME	EXAMTIMECODE	ROOMCAPACITY	ENROLLTOTAL	COURSE
-------------	---------	-----------	-----------	---------------------------	--------------------------------------------------	-------------	-----------	-------------	-----------	------------	------------	-----------	--------------------------------------------------
2111         	007269   	      19651	Spring 2011	EE                         	Clemen 04                                         	LCTR         	05-MAY-2011	11:45        	14:45      	TR11        	          45	         28	Princ Infor Theory & Cod
2119         	000076   	      27858	Fall 2011  	MGB                        	Nsc 201                                           	LCTR         	19-DEC-2011	11:45        	14:45      	TW13        	         250	         28	Behav & Organ Concepts
2119         	000076   	      31749	Fall 2011  	MGB                        	Baldy 112                                         	LCTR         	14-DEC-2011	19:15        	22:15      	W18         	          20	          0	Behav & Organ Concepts
2119         	000076   	      34045	Fall 2011  	MGB                        	Nsc 201                                           	LCTR         	19-DEC-2011	11:45        	14:45      	TW13        	         250	         28	Behav & Organ Concepts
2119         	000076   	      35334	Fall 2011  	MGB                        	Alfier 102                                        	LCTR         	14-DEC-2011	19:15        	22:15      	W18         	          84	         61	Behav & Organ Concepts
2119         	000076   	      35737	Fall 2011  	MGB                        	Nsc 201                                           	LCTR         	19-DEC-2011	11:45        	14:45      	TW13        	         250	         26	Behav & Organ Concepts
2119         	000313   	      27014	Fall 2011  	MGE                        	Nsc 201                                           	LCTR         	12-DEC-2011	19:15        	22:15      	            	         250	         48	Applied Economics
2119         	000313   	      27014	Fall 2011  	MGE                        	Nsc 215                                           	LCTR         	12-DEC-2011	19:15        	22:15      	            	         150	         48	Applied Economics
2119         	000313   	      27014	Fall 2011  	MGE                        	Nsc 225                                           	LCTR         	12-DEC-2011	19:15        	22:15      	            	         385	         48	Applied Economics
2119         	000313   	      30828	Fall 2011  	MGE                        	Nsc 201                                           	LCTR         	12-DEC-2011	19:15        	22:15      	            	         250	        232	Applied Economics
2119         	000313   	      30828	Fall 2011  	MGE                        	Nsc 215                                           	LCTR         	12-DEC-2011	19:15        	22:15      	            	         150	        232	Applied Economics
2119         	000313   	      30828	Fall 2011  	MGE                        	Nsc 225                                           	LCTR         	12-DEC-2011	19:15        	22:15      	            	         385	        232	Applied Economics
2119         	000318   	      26949	Fall 2011  	MGE                        	Nsc 215                                           	LCTR         	19-DEC-2011	15:30        	18:30      	RF16        	         150	         34	Economics for Managers
2119         	000318   	      27445	Fall 2011  	MGE                        	Alfier 104                                        	LCTR         	16-DEC-2011	11:45        	14:45      	F13         	          80	         25	Economics for Managers
2119         	000318   	      31707	Fall 2011  	MGE                        	Nsc 215                                           	LCTR         	19-DEC-2011	15:30        	18:30      	RF16        	         150	         56	Economics for Managers
